Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
负载100登录,2731,1016,1000,1701,1810,2679,6,3073,0.08971,40.35106,35.24,17.9
负载500登录,4288,1122,1181,1758,1825,2743,4,3076,0.11894,63.44228,58.25,27.23
负载1000登录,7608,1178,1259,1795,2104,2956,4,4555,0.16746,112.62602,111.8,45.68
负载100预约,2674,1044,1038,1744,1841,2340,26,3069,0.07031,39.56207,27.55,18.57
负载500预约,4196,1151,1210,1777,1963,2557,4,3815,0.09962,62.08846,45.51,28.24
负载1000预约,7361,1199,1283,1814,2125,2750,4,3089,0.14006,109.00179,86.98,47.36
总体,28858,1143,1199,1786,2010,2753,4,4555,0.12704,426.30071,364.66,184.64
,,,,,,,,,,,,
"	系统在1000并发用户下核心接口平均响应时间约1.2s，吞吐量稳定在110 reqs/s，错误率0.14%以内，整体表现稳定；
但异常率随并发量上升，经分析日志，原因是Windows客户端临时端口耗尽，建议后续压测迁移至Linux并重新获取结果",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
